IncidntNum,Category,Descript,DayOfWeek,Date,Time,PdDistrict,Resolution,Address,X,Y,Location,PdId
150060275,NON-CRIMINAL,LOST PROPERTY,Monday,1/19/2015,14:00,MISSION,NONE,18TH ST / VALENCIA ST,-122.4215817,37.76170072,"(37.7617007179518, -122.42158168137)",1.5006E+13
150098210,ROBBERY,"ROBBERY, BODILY FORCE",Sunday,2/1/2015,15:45,TENDERLOIN,NONE,300 Block of LEAVENWORTH ST,-122.414406,37.78419072,"(37.7841907151119, -122.414406029855)",1.50098E+13
150098210,ASSAULT,AGGRAVATED ASSAULT WITH BODILY FORCE,Sunday,2/1/2015,15:45,TENDERLOIN,NONE,300 Block of LEAVENWORTH ST,-122.414406,37.78419072,"(37.7841907151119, -122.414406029855)",1.50098E+13
150098210,SECONDARY CODES,DOMESTIC VIOLENCE,Sunday,2/1/2015,15:45,TENDERLOIN,NONE,300 Block of LEAVENWORTH ST,-122.414406,37.78419072,"(37.7841907151119, -122.414406029855)",1.50098E+13
150098226,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",Tuesday,1/27/2015,19:00,NORTHERN,NONE,LOMBARD ST / LAGUNA ST,-122.4311185,37.8004687,"(37.8004687042875, -122.431118543788)",1.50098E+13
150098232,NON-CRIMINAL,AIDED CASE -PROPERTY FOR DESTRUCTION,Sunday,2/1/2015,16:21,RICHMOND,NONE,400 Block of LOCUST ST,-122.4517818,37.78708539,"(37.7870853907529, -122.451781767894)",1.50098E+13
150098248,SECONDARY CODES,DOMESTIC VIOLENCE,Saturday,1/31/2015,21:00,BAYVIEW,NONE,700 Block of KIRKWOOD AV,-122.3740193,37.72920336,"(37.729203356539, -122.374019331833)",1.50098E+13
150098248,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",Saturday,1/31/2015,21:00,BAYVIEW,NONE,700 Block of KIRKWOOD AV,-122.3740193,37.72920336,"(37.729203356539, -122.374019331833)",1.50098E+13
150098254,BURGLARY,"BURGLARY OF STORE, UNLAWFUL ENTRY",Saturday,1/31/2015,16:09,CENTRAL,NONE,200 Block of STOCKTON ST,-122.4065682,37.7878093,"(37.7878092959561, -122.40656817787)",1.50098E+13
150098260,LARCENY/THEFT,PETTY THEFT SHOPLIFTING,Saturday,1/31/2015,17:00,CENTRAL,NONE,800 Block of GEARY ST,-122.4172953,37.78625785,"(37.7862578545865, -122.417295322526)",1.50098E+13
150098345,LARCENY/THEFT,PETTY THEFT SHOPLIFTING,Sunday,2/1/2015,14:00,MISSION,"ARREST, BOOKED",1700 Block of HARRISON ST,-122.4133542,37.7690748,"(37.7690748003847, -122.413354187018)",1.50098E+13
150098345,DRUG/NARCOTIC,POSSESSION OF METH-AMPHETAMINE,Sunday,2/1/2015,14:00,MISSION,"ARREST, BOOKED",1700 Block of HARRISON ST,-122.4133542,37.7690748,"(37.7690748003847, -122.413354187018)",1.50098E+13
150098345,DRUG/NARCOTIC,POSSESSION OF NARCOTICS PARAPHERNALIA,Sunday,2/1/2015,14:00,MISSION,"ARREST, BOOKED",1700 Block of HARRISON ST,-122.4133542,37.7690748,"(37.7690748003847, -122.413354187018)",1.50098E+13
150098345,WARRANTS,WARRANT ARREST,Sunday,2/1/2015,14:00,MISSION,"ARREST, BOOKED",1700 Block of HARRISON ST,-122.4133542,37.7690748,"(37.7690748003847, -122.413354187018)",1.50098E+13
150098367,ROBBERY,"ROBBERY, ARMED WITH A KNIFE",Sunday,2/1/2015,16:20,MISSION,NONE,2200 Block of MARKET ST,-122.432198,37.76511073,"(37.7651107322703, -122.432198022433)",1.50098E+13
150098373,VEHICLE THEFT,STOLEN AUTOMOBILE,Sunday,2/1/2015,12:45,NORTHERN,NONE,FRANKLIN ST / TURK ST,-122.422277,37.78175288,"(37.7817528767881, -122.42227702764)",1.50098E+13
150098373,NON-CRIMINAL,FOUND PROPERTY,Sunday,2/1/2015,12:45,NORTHERN,NONE,FRANKLIN ST / TURK ST,-122.422277,37.78175288,"(37.7817528767881, -122.42227702764)",1.50098E+13
150098389,WARRANTS,ENROUTE TO OUTSIDE JURISDICTION,Sunday,2/1/2015,16:38,BAYVIEW,"ARREST, BOOKED",3800 Block of 3RD ST,-122.3879395,37.74226005,"(37.7422600519555, -122.387939452192)",1.50098E+13
150098395,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Sunday,2/1/2015,14:30,PARK,NONE,MARTIN LUTHER KING JR DR / KEZAR DR,-122.4586388,37.76719994,"(37.7671999403456, -122.458638758608)",1.50098E+13
150098408,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Sunday,2/1/2015,17:25,BAYVIEW,"ARREST, BOOKED",NEWCOMB AV / MENDELL ST,-122.3897747,37.73522659,"(37.735226586208, -122.389774683064)",1.50098E+13
150098414,ROBBERY,"ROBBERY ON THE STREET, STRONGARM",Sunday,2/1/2015,17:05,CENTRAL,"ARREST, BOOKED",PACIFIC AV / GRANT AV,-122.406832,37.79690288,"(37.7969028838908, -122.406831986427)",1.50098E+13
150098414,ROBBERY,"ROBBERY, BODILY FORCE",Sunday,2/1/2015,17:05,CENTRAL,"ARREST, BOOKED",PACIFIC AV / GRANT AV,-122.406832,37.79690288,"(37.7969028838908, -122.406831986427)",1.50098E+13
150098414,ASSAULT,AGGRAVATED ASSAULT WITH BODILY FORCE,Sunday,2/1/2015,17:05,CENTRAL,"ARREST, BOOKED",PACIFIC AV / GRANT AV,-122.406832,37.79690288,"(37.7969028838908, -122.406831986427)",1.50098E+13
